ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	type	parent class
ID	AL rdfs:label@en	AL obo:IAO_0000111@en	AI obo:IAO_0000114	AL obo:IAO_0000118@en SPLIT=|	AL obo:IAO_0000115@en SPLIT=|	A obo:IAO_0000119 SPLIT=|	AL obo:IAO_0000112@en SPLIT=|	A obo:IAO_0000117 SPLIT=,	AL obo:IAO_0000116@en SPLIT=|	AL obo:IAO_0000232@en SPLIT=|	A obo:IAO_0000234	A obo:IAO_0000233	CLASS_TYPE	TYPE	C %
fordisc:AuricularDemifaceTopographyLabel	Categorical label about auricular demiface topography				A category label that is used to describe the auricular surface of the sacroiliac joint. 	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 8/9.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:UndulatingDemifaceTopography	Undulating				1. Undulating: The surface is undulating, particularly in a superior to inferior direction. There is no centrally located and linear area of elevated bone (Median Elevation). When the entire articulation surface is viewed in aggregate, the overall effect is of two or three low waves proceeding lengthwise along the joint.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 8/9.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularDemifaceTopographyLabel	
fordisc:MedianElevationOnDemiface	Median elevation				2. Median elevation: In the middle to posterior part of the demiface there is a broad raised area where the joint surface is elevated slightly above the rest of the joint. The elevation is flanked anteriorly, posteriorly, or both by one or two long low areas. The elevated area takes the form of an elongated ridge with the long axis paralleling the main orientation of the demiface. Occasionally the elevated area is restricted to a noticeable raised area, especially in the inferior portion of the superior demiface. The elevated area occupies as much as one-third of the joint surface.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 8/9.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularDemifaceTopographyLabel	
fordisc:FlatToIrregularDemifaceTopography	Flat to irregular				3. Flat to irregular: The surface is essentially flat or recessed, a result of marginal lipping, or it is irregular from degeneration of the joint or the formation of low pillow-like exostoses.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 8/9.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularDemifaceTopographyLabel	
fordisc:AuricularSurfaceCharacteristicsLabel	Categorical label about Auricular surface characteristics				A category label that is used to describe characteristics of the auricular surface of the sacroiliac joint.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 9-11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""					subclass		obo:OBI_0000963
fordisc:OverTwoThirdsOfAuricularSurfaceCoveredByBillows	>2/3 covered by billows				1. Billows cover >2/3 of the surface: Low rounded ridges separated by furrows, which have distinctly rounded bases, are clearly identifiable. The ridge surfaces are curved from the depths of the furrows completely across their crests. Most or all of the billowing is oriented roughly anterior to posterior, and furrows can run across much of the face. Billowing covers most (>2/3) of the joint surface (i.e., it is a dominant element of the surface).	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 9-11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceCharacteristicsLabel	
fordisc:OneToTwoThirdsOfAuricularSurfaceCoveredByBillows	1/3-2/3 covered by billows				2. Billows cover 1/3-2/3 of the surface: About one-half of the surface is covered by billows.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 9-11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceCharacteristicsLabel	
fordisc:UnderOneThirdOfAuricularSurfaceCoveredByBillows	<1/3 covered by billows				3. Billows cover <1/3 of the surface: Billows are a noticeable, but minor, component of the joint surface. The rest of the surface is flat or bumpy.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 9-11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceCharacteristicsLabel	
fordisc:FlatAuricularSurface	Flat (no billows)				4. Flat (no billows): The joint surface is flat.	Milner, George R. & Boldsen, Jesper L. (2013). Transition Analysis Age Estimation: Skeletal Scoring Manual. Fordisc Version 1.00,  p. 9-11.		"https://orcid.org/0009-0008-3871-9762 """"Felix Engel"""""						fordisc:AuricularSurfaceCharacteristicsLabel	
